city_name,lat,lon,zip3
New York,40.7128,-74.006,100
Los Angeles,34.0522,-118.2437,900
Chicago,41.8781,-87.6298,606
Dallas,32.7767,-96.797,752
Houston,29.7604,-95.3698,770
Miami,25.7617,-80.1918,331
Washington,38.9072,-77.0369,200
Atlanta,33.749,-84.388,303
Philadelphia,39.9526,-75.1652,191
Phoenix,33.4484,-112.074,850
Boston,42.3601,-71.0589,021
Riverside,33.9806,-117.3755,925
San Francisco,37.7749,-122.4194,941
Detroit,42.3314,-83.0458,482
Seattle,47.6062,-122.3321,981
Minneapolis,44.9778,-93.265,554
Tampa,27.9506,-82.4572,336
San Diego,32.7157,-117.1611,921
Denver,39.7392,-104.9903,802
Orlando,28.5383,-81.3792,328
Charlotte,35.2271,-80.8431,282
Baltimore,39.2904,-76.6122,212
St. Louis,38.627,-90.1994,631
San Antonio,29.4241,-98.4936,782
Austin,30.2672,-97.7431,787
Portland,45.5152,-122.6784,972
Sacramento,38.5816,-121.4944,958
Pittsburgh,40.4406,-79.9959,152
Las Vegas,36.1699,-115.1398,891
Cincinnati,39.1031,-84.512,452
Kansas City,39.0997,-94.5786,641
Columbus,39.9612,-82.9988,432
Indianapolis,39.7684,-86.1581,462
Cleveland,41.4993,-81.6944,441
Nashville,36.1627,-86.7816,372
San Juan,18.4655,-66.1057,009
San Jose,37.3382,-121.8863,951
Virginia Beach,36.8529,-75.978,234
Jacksonville,30.3322,-81.6557,322
Providence,41.824,-71.4128,029
Milwaukee,43.0389,-87.9065,532
Raleigh,35.7796,-78.6382,276
Oklahoma City,35.4676,-97.5164,731
Louisville/Jefferson County,38.2527,-85.7585,402
Richmond,37.5407,-77.436,232
Memphis,35.1495,-90.049,381
Salt Lake City,40.7608,-111.891,841
Birmingham,33.5186,-86.8104,352
Fresno,36.7378,-119.7871,937
Grand Rapids,42.9634,-85.6681,495
Hartford,41.7658,-72.6734,061
Buffalo,42.8864,-78.8784,142
Tucson,32.2226,-110.9747,857
Tulsa,36.15398,-95.9928,741
Rochester,43.1566,-77.6088,146
Omaha,41.2565,-95.9345,681
Greenville,34.8526,-82.394,296
Bridgeport,41.1792,-73.1894,066
New Orleans,29.9511,-90.0715,701
Knoxville,35.9606,-83.9207,379
North Port,27.0442,-82.2359,342
Albuquerque,35.0844,-106.6504,871
Bakersfield,35.3733,-119.0187,933
McAllen,26.2034,-98.23,785
Albany,42.6526,-73.7562,122
Allentown,40.6023,-75.4714,181
Baton Rouge,30.4515,-91.1871,708
Worcester,42.2626,-71.8023,016
El Paso,31.7619,-106.485,799
Columbia,34.0007,-81.0348,292
Charleston,32.7765,-79.9311,294
Cape Coral,26.5629,-81.9495,339
Lakeland,28.0395,-81.9498,338
Boise City,43.615,-116.2023,837
Oxnard,34.1975,-119.1771,930
Dayton,39.7589,-84.1916,454
Stockton,37.9577,-121.2908,952
Greensboro,36.0726,-79.792,274
Colorado Springs,38.8339,-104.8214,809
Little Rock,34.7465,-92.2896,722
Provo,40.2338,-111.6585,846
Des Moines,41.5868,-93.625,503
Deltona,28.9005,-81.2637,327
Kiryas Joel,41.3429,-74.1672,109
Madison,43.0722,-89.4008,537
Winston,36.0999,-80.2442,271
Akron,41.0814,-81.519,443
Ogden,41.223,-111.9738,844
Wichita,37.6872,-97.3301,672
Palm Bay,28.0342,-80.5887,329
Syracuse,43.0481,-76.1474,132
Augusta,33.4735,-82.0105,309
Durham,35.994,-78.8986,277
Harrisburg,40.2732,-76.8867,171
Jackson,32.2988,-90.1848,392
Fayetteville,35.0527,-78.8784,283
Spokane,47.6588,-117.426,992
Toledo,41.6528,-83.5379,436
Chattanooga,35.0456,-85.3097,374
New Haven,41.3083,-72.9279,065
